method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
ADASYN,2,0,0,Bot,0.6573283220725488,1002.0,1.0,0.4043848961442892,1466.0,1.0,0.5269865063577481,1261.0,1.0,0.449092343770929,1395.0,1.0
ADASYN,2,1,0,Bot,0.602915036904825,1116.0,1.0,0.725267596034009,846.0,1.0,0.739980762598249,810.0,1.0,0.7387676503678825,813.0,1.0
ADASYN,2,2,0,Bot,0.5053272446752384,1300.0,0.0,0.4710003888960736,1359.0,0.0,0.5266316575261223,1262.0,0.0,0.2839667974843692,1639.0,0.0
ADASYN,2,3,0,Bot,0.5041888800490345,1302.0,0.0,0.5075987838153727,1296.0,0.0,0.525525525137694,1264.0,0.0,0.1948529410004223,1752.0,0.0
ADASYN,2,4,0,Bot,0.2764370335482776,1649.0,0.0,0.2306306304263874,1708.0,0.0,0.2210144925568322,1720.0,0.0,0.5462620277298479,1226.0,0.0
ADASYN,2,5,0,Bot,0.7363344046788114,819.0,1.0,0.6956521734586938,916.0,1.0,0.6960849365063682,915.0,1.0,0.739980762598249,810.0,1.0
ADASYN,2,6,0,Bot,0.6749831418313077,963.0,1.0,0.4114793852827177,1455.0,1.0,0.2868352220725238,1635.0,1.0,0.4832111150322234,1338.0,1.0
ADASYN,2,7,0,Bot,0.4134033101274377,1452.0,1.0,0.7029702965731565,899.0,1.0,0.5646457264019255,1191.0,1.0,0.4261113332641938,1432.0,1.0
ADASYN,2,8,0,Bot,0.5143721630063329,1284.0,0.0,0.481452858984523,1341.0,1.0,0.4781092596125676,1347.0,0.0,0.4955955568845879,1317.0,0.0
ADASYN,2,9,0,Bot,0.6075859620012357,1107.0,0.0,0.4781092596125676,1347.0,0.0,0.5244177306419965,1266.0,0.0,0.6529492451016123,1012.0,0.0
ADASYN,2,10,0,Bot,0.5132475393606947,1286.0,0.0,0.5249718358873096,1265.0,0.0,0.5271841015986337,1261.0,0.0,0.5115574077280327,1289.0,0.0
ADASYN,2,11,0,Bot,0.6745362558760664,964.0,1.0,0.4076175037265123,1461.0,1.0,0.4907834097671318,1325.0,1.0,0.3127147763682141,1600.0,0.0
ADASYN,2,12,0,Bot,0.4884615380916052,1329.0,1.0,0.6882510008830398,933.0,1.0,0.7194525899590343,860.0,1.0,0.735114257661249,822.0,1.0
ADASYN,2,13,0,Bot,0.191528544946342,1756.0,0.0,0.1339667457181099,1823.0,0.0,0.0,1964.0,2.0,0.3959183670285801,1479.0,1.0
ADASYN,2,14,0,Bot,0.4039008529890007,1467.0,0.0,0.1133525455221656,1846.0,0.0,0.1196744852870847,1839.0,0.0,0.1856812931339263,1763.0,0.0
ADASYN,2,15,0,Bot,0.5714285710196815,1178.0,1.0,0.6886886882364788,932.0,1.0,0.7207031245383525,857.0,1.0,0.7391722805728351,812.0,1.0
ADASYN,2,16,0,Bot,0.6205686201399029,1080.0,1.0,0.4101941744304082,1457.0,1.0,0.2868352220725238,1635.0,1.0,0.3880229693336897,1491.0,1.0
