method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
Baseline,2,0,0,Bot,0.2548845468459825,1677,1,0.3060344824985531,1609,1,0.0,1964,0,0.1169702779338621,1842,0
Baseline,2,1,0,Bot,0.4936757374580022,1320,1,0.4672386891887195,1365,1,0.0,1964,0,0.3564853553552928,1538,0
Baseline,2,2,0,Bot,0.2650176676143884,1664,0,0.0678799802590004,1895,0,0.0,1964,0,0.0141557128271839,1950,0
Baseline,2,3,0,Bot,0.2456453771849313,1689,0,0.0515873015369937,1912,0,0.0,1964,57,0.1392704877907125,1817,0
Baseline,2,4,0,Bot,0.1848428833810531,1764,0,0.0987415294316912,1862,0,0.0,1964,0,0.5001909121865692,1309,0
Baseline,2,5,0,Bot,0.5039969543234285,1302,1,0.686936183978674,936,1,0.0,1964,0,0.4180426899629996,1445,0
Baseline,2,6,0,Bot,0.2732864672499969,1653,1,0.3248081838703123,1583,1,0.0,1964,0,0.3926380364934425,1484,1
Baseline,2,7,0,Bot,0.2618310479803197,1668,1,0.2541092845396162,1678,1,0.0,1964,0,0.3985330070150298,1475,1
Baseline,2,8,0,Bot,0.4492696403935001,1395,0,0.4287999996627916,1428,0,0.5164212906693971,1280,1,0.2266365686475993,1713,0
Baseline,2,9,0,Bot,0.2401433689641031,1696,0,0.207211318846473,1737,0,0.0,1964,0,0.3760330575450809,1509,1
Baseline,2,10,0,Bot,0.4045491467118832,1466,0,0.4281712681705543,1429,0,0.385532264382262,1495,0,0.0707269154523334,1892,0
Baseline,2,11,0,Bot,0.1897742973860407,1758,1,0.2964889464306025,1622,1,0.0,1964,0,0.0735654732002796,1889,0
Baseline,2,12,0,Bot,0.4248496990633952,1434,1,0.4737864074046642,1354,1,0.0,1964,0,0.3760330575450809,1509,1
Baseline,2,13,0,Bot,0.191528544946342,1756,0,0.1339667457181099,1823,0,0.0,1964,2,0.3959183670285801,1479,1
Baseline,2,14,0,Bot,0.0261306532405161,1938,0,0.0091231626873106,1955,0,0.0,1964,0,0.0251382604075305,1939,0
Baseline,2,15,0,Bot,0.4684333589546099,1363,1,0.3424715307149069,1558,1,0.0,1964,453,0.2995670993121432,1618,0
Baseline,2,16,0,Bot,0.2579787231786669,1673,1,0.3045729074199806,1611,1,0.0,1964,0,0.0,1964,0
Baseline,2,17,0,Bot,0.1956821311967335,1751,0,0.2824661125687239,1641,0,0.0,1964,0,0.034034034000545,1930,0
Baseline,2,18,0,Bot,0.2987012984463432,1619,1,0.3140283137627349,1598,1,0.0,1964,0,0.3706467658663681,1517,1
Baseline,2,19,0,Bot,0.2121074190182051,1731,0,0.2964889464306025,1622,1,0.0,1964,9,0.0602469135217553,1903,0
Baseline,2,20,0,Bot,0.3156089191164292,1596,0,0.6740890683783454,965,1,0.0,1964,0,0.3760330575450809,1509,1
Baseline,2,21,0,Bot,0.3025064820247503,1614,0,0.3134392440462767,1599,0,0.0,1964,0,0.0,1964,0
Baseline,2,22,0,Bot,0.4672386891887195,1365,1,0.5919025434736338,1138,1,0.0,1964,0,0.5036190472418609,1303,0
Baseline,2,23,0,Bot,0.2649006620209585,1664,1,0.300173010124637,1617,1,0.0,1964,0,0.3773740707086956,1507,1
Baseline,2,24,0,Bot,0.1558685444570715,1798,0,0.0191628844994078,1945,0,0.0,1964,3,0.0201612903026022,1944,0
Baseline,5,0,0,Bot,0.8141432452102302,614,1,0.7926153841362735,673,1,0.0,1961,0,0.3239316236598813,1582,0
Baseline,5,1,0,Bot,0.556496135041442,1205,0,0.724317294725907,847,1,0.0,1961,0,0.7184846500941652,861,1
Baseline,5,2,0,Bot,0.5967799638026908,1127,0,0.3617376772305384,1528,0,0.249665626173165,1681,2,0.7909987664757304,678,0
Baseline,5,3,0,Bot,0.4593639572425318,1376,1,0.7218241037725673,853,1,0.0,1961,0,0.2690780765196602,1656,1
Baseline,5,4,0,Bot,0.5209197131458561,1270,1,0.5678832112714649,1183,1,0.0,1961,0,0.485129393220429,1333,0
Baseline,5,5,0,Bot,0.6847753181273595,940,0,0.6228932579976335,1074,0,0.0,1961,0,0.7612128864515917,756,0
Baseline,5,6,0,Bot,0.614406779234652,1091,1,0.6985074622313527,908,1,0.0,1961,0,0.6967784784559685,912,1
Baseline,5,7,0,Bot,0.527579736946675,1258,1,0.6871863494980732,934,1,0.0,1961,0,0.3977133520692884,1474,1
Baseline,5,8,0,Bot,0.5543678580581554,1209,0,0.5036245703973234,1301,0,0.0,1961,0,0.3036332177352803,1610,0
Baseline,5,9,0,Bot,0.5689277895265369,1181,1,0.7218241037725673,853,1,0.0,1961,3,0.7317388489212439,829,1
Baseline,5,10,0,Bot,0.7296859820545021,834,1,0.7296859820545021,834,1,0.0,1961,0,0.7635561155426038,750,0
Baseline,5,11,0,Bot,0.6002855099292076,1120,0,0.5917414717552645,1137,0,0.0,1961,0,0.5030534347375978,1302,0
Baseline,5,12,0,Bot,0.568405690945928,1182,1,0.6607508527991834,993,1,0.0,1961,0,0.7402889240916706,808,1
Baseline,5,13,0,Bot,0.5610561052061638,1196,1,0.6417445478500858,1034,1,0.7415946200894096,803,4,0.5310861419316396,1252,0
Baseline,5,14,0,Bot,0.7038995368863995,896,0,0.7094438955601716,883,0,0.8210210205363304,594,2,0.737689088687453,815,0
Baseline,5,15,0,Bot,0.4183796852789762,1442,1,0.4347826083545901,1416,1,0.0,1961,0,0.6533973914605473,1009,1
Baseline,5,16,0,Bot,0.5237020312153865,1265,1,0.6662134597861624,981,1,0.0,1961,0,0.5352743557102622,1244,1
