method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
BorderlineSMOTE,2,0,0,Bot,0.2548845468459825,1677.0,1.0,0.3060344824985531,1609.0,1.0,0.0,1964.0,0.0,0.1169702779338621,1842.0,0.0
BorderlineSMOTE,2,1,0,Bot,0.4936757374580022,1320.0,1.0,0.4672386891887195,1365.0,1.0,0.0,1964.0,0.0,0.3564853553552928,1538.0,0.0
BorderlineSMOTE,2,2,0,Bot,0.5047582790284146,1301.0,0.0,0.4715953303785383,1358.0,0.0,0.5271841015986337,1261.0,0.0,0.1480433756289234,1807.0,0.0
BorderlineSMOTE,2,3,0,Bot,0.2456453771849313,1689.0,0.0,0.0515873015369937,1912.0,0.0,0.0,1964.0,57.0,0.1392704877907125,1817.0,0.0
BorderlineSMOTE,2,4,0,Bot,0.1848428833810531,1764.0,0.0,0.0987415294316912,1862.0,0.0,0.0,1964.0,0.0,0.5001909121865692,1309.0,0.0
BorderlineSMOTE,2,5,0,Bot,0.5039969543234285,1302.0,1.0,0.686936183978674,936.0,1.0,0.0,1964.0,0.0,0.4180426899629996,1445.0,0.0
BorderlineSMOTE,2,6,0,Bot,0.2732864672499969,1653.0,1.0,0.3248081838703123,1583.0,1.0,0.0,1964.0,0.0,0.3926380364934425,1484.0,1.0
BorderlineSMOTE,2,7,0,Bot,0.2618310479803197,1668.0,1.0,0.2541092845396162,1678.0,1.0,0.0,1964.0,0.0,0.3985330070150298,1475.0,1.0
BorderlineSMOTE,2,8,0,Bot,0.5104285168739088,1291.0,0.0,0.4832111150322234,1338.0,1.0,0.4915514589222772,1324.0,0.0,0.483397683030749,1338.0,0.0
BorderlineSMOTE,2,9,0,Bot,0.2401433689641031,1696.0,0.0,0.207211318846473,1737.0,0.0,0.0,1964.0,0.0,0.3760330575450809,1509.0,1.0
BorderlineSMOTE,2,10,0,Bot,0.4045491467118832,1466.0,0.0,0.4281712681705543,1429.0,0.0,0.385532264382262,1495.0,0.0,0.0707269154523334,1892.0,0.0
BorderlineSMOTE,2,11,0,Bot,0.1897742973860407,1758.0,1.0,0.2964889464306025,1622.0,1.0,0.0,1964.0,0.0,0.0735654732002796,1889.0,0.0
BorderlineSMOTE,2,12,0,Bot,0.4248496990633952,1434.0,1.0,0.4737864074046642,1354.0,1.0,0.0,1964.0,0.0,0.3760330575450809,1509.0,1.0
BorderlineSMOTE,2,13,0,Bot,0.3978801464395297,1476.0,1.0,0.3865408285748203,1493.0,2.0,0.3939517773697938,1482.0,1.0,0.3978801464395297,1476.0,1.0
BorderlineSMOTE,2,14,0,Bot,0.0261306532405161,1938.0,0.0,0.0091231626873106,1955.0,0.0,0.0,1964.0,0.0,0.0251382604075305,1939.0,0.0
BorderlineSMOTE,2,15,0,Bot,0.4684333589546099,1363.0,1.0,0.3424715307149069,1558.0,1.0,0.0,1964.0,453.0,0.2995670993121432,1618.0,0.0
BorderlineSMOTE,2,16,0,Bot,0.2579787231786669,1673.0,1.0,0.3045729074199806,1611.0,1.0,0.0,1964.0,0.0,0.0,1964.0,0.0
BorderlineSMOTE,2,17,0,Bot,0.1956821311967335,1751.0,0.0,0.2824661125687239,1641.0,0.0,0.0,1964.0,0.0,0.034034034000545,1930.0,0.0
BorderlineSMOTE,2,18,0,Bot,0.2987012984463432,1619.0,1.0,0.3140283137627349,1598.0,1.0,0.0,1964.0,0.0,0.3706467658663681,1517.0,1.0
BorderlineSMOTE,2,19,0,Bot,0.2121074190182051,1731.0,0.0,0.2964889464306025,1622.0,1.0,0.0,1964.0,9.0,0.0602469135217553,1903.0,0.0
BorderlineSMOTE,2,20,0,Bot,0.3156089191164292,1596.0,0.0,0.6740890683783454,965.0,1.0,0.0,1964.0,0.0,0.3760330575450809,1509.0,1.0
BorderlineSMOTE,2,21,0,Bot,0.3025064820247503,1614.0,0.0,0.3134392440462767,1599.0,0.0,0.0,1964.0,0.0,0.0,1964.0,0.0
BorderlineSMOTE,2,22,0,Bot,0.4672386891887195,1365.0,1.0,0.5919025434736338,1138.0,1.0,0.0,1964.0,0.0,0.5036190472418609,1303.0,0.0
BorderlineSMOTE,2,23,0,Bot,0.2649006620209585,1664.0,1.0,0.300173010124637,1617.0,1.0,0.0,1964.0,0.0,0.3773740707086956,1507.0,1.0
BorderlineSMOTE,2,24,0,Bot,0.1558685444570715,1798.0,0.0,0.0191628844994078,1945.0,0.0,0.0,1964.0,3.0,0.0201612903026022,1944.0,0.0
BorderlineSMOTE,5,0,0,Bot,0.8141432452102302,614.0,1.0,0.7926153841362735,673.0,1.0,0.0,1961.0,0.0,0.3239316236598813,1582.0,0.0
BorderlineSMOTE,5,1,0,Bot,0.804023163188207,642.0,1.0,0.6933066928530578,920.0,1.0,0.7710616969887809,730.0,1.0,0.7775700929820586,713.0,1.0
BorderlineSMOTE,5,2,0,Bot,0.7191378179583058,860.0,0.0,0.6586867300639527,998.0,0.0,0.6286713282398315,1062.0,0.0,0.6485182628280354,1020.0,0.0
BorderlineSMOTE,5,3,0,Bot,0.4593639572425318,1376.0,1.0,0.7218241037725673,853.0,1.0,0.0,1961.0,0.0,0.2690780765196602,1656.0,1.0
BorderlineSMOTE,5,4,0,Bot,0.6725304461023329,967.0,1.0,0.7496815281929544,784.0,2.0,0.5399776864771687,1235.0,2.0,0.7286269425411804,836.0,2.0
BorderlineSMOTE,5,5,0,Bot,0.8257485025086994,582.0,0.0,0.7311549655660766,831.0,0.0,0.7094438955601716,883.0,0.0,0.8079027350802696,632.0,0.0
