method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
CTGAN,2,0,0,Bot,0.3045729074199806,1611,1,0.338266384496113,1564,1,0.3023758096776813,1614,1,0.0457711442338377,1918,0
CTGAN,2,1,0,Bot,0.4843810254709572,1336,1,0.6234676002707134,1074,1,0.7314396380118533,831,1,0.739980762598249,810,1
CTGAN,2,2,0,Bot,0.4363057321426046,1416,0,0.0330495743290057,1931,0,0.3592314115679828,1534,0,0.3564853553552928,1538,0
CTGAN,2,3,0,Bot,0.1998166817631349,1746,0,0.0987415294316912,1862,0,0.5104285168739088,1291,0,0.0,1964,0
CTGAN,2,4,0,Bot,0.1515294116245144,1803,0,0.1042471041481902,1856,0,0.1541353382034632,1800,0,0.5053272446752384,1300,0
CTGAN,2,5,0,Bot,0.5786618440726692,1164,1,0.7173629238212736,865,1,0.686058174072182,938,1,0.7198697063789761,859,1
CTGAN,2,6,0,Bot,0.2625994692670171,1667,1,0.4024390240679708,1469,1,0.2641342753882407,1665,1,0.3985330070150298,1475,1
CTGAN,2,7,0,Bot,0.261061946674785,1669,1,0.2641342753882407,1665,1,0.4004884001672939,1472,1,0.4242181231613521,1435,1
CTGAN,2,8,0,Bot,0.5053272446752384,1300,0,0.4590035304423691,1379,0,0.496171515706174,1316,0,0.5047582790284146,1301,0
CTGAN,2,9,0,Bot,0.2250338904462645,1715,0,0.4921305178627529,1323,0,0.5783568580756244,1165,0,0.4704049840635451,1360,0
CTGAN,2,10,0,Bot,0.4375497212170952,1414,0,0.4733773801279984,1355,0,0.5205273065825399,1273,0,0.4412698409255807,1408,0
CTGAN,2,11,0,Bot,0.3141630898636718,1598,0,0.3946078428196881,1481,1,0.4043848961442892,1466,1,0.2779482680638113,1647,0
CTGAN,2,12,0,Bot,0.4930981591369106,1321,1,0.6550308003801729,1007,1,0.6373092922141774,1045,1,0.7173629238212736,865,1
CTGAN,2,13,0,Bot,0.3285106380230417,1578,0,0.1419110689314109,1814,0,0.1232680361957262,1835,0,0.3978801464395297,1476,1
CTGAN,2,14,0,Bot,0.0271220491947152,1937,0,0.0181634712231536,1946,0,0.1024154588399281,1858,0,0.0399201596414755,1924,0
CTGAN,2,15,0,Bot,0.4229534507090278,1437,1,0.5313901341381985,1253,1,0.7531725883623149,777,1,0.739980762598249,810,1
CTGAN,2,16,0,Bot,0.4101941744304082,1457,1,0.4101941744304082,1457,1,0.4076175037265123,1461,1,0.3299319725133307,1576,0
CTGAN,2,17,0,Bot,0.1357380160100327,1821,0,0.3292216075511486,1577,0,0.4492696403935001,1395,0,0.5166163138158354,1280,0
CTGAN,2,18,0,Bot,0.5247747743869438,1265,1,0.5390334568545725,1239,1,0.7622047239370923,754,1,0.7219512190502004,854,1
