method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
RO,2,0,0,Bot,0.7355212350555668,821,1,0.5253283298182855,1264,1,0.5439051496588465,1230,1,0.4330143537269249,1421,1
RO,2,1,0,Bot,0.6878130212509008,934,1,0.732258064051327,829,1,0.7248539904521942,847,1,0.7198697063789761,859,1
RO,2,2,0,Bot,0.5001909121865692,1309,0,0.5058957774839896,1299,0,0.5271841015986337,1261,0,0.2104783597203642,1733,0
RO,2,3,0,Bot,0.5030487801109018,1304,0,0.5227529142430491,1269,0,0.5271841015986337,1261,0,0.0913508259574364,1870,0
RO,2,4,0,Bot,0.4751552791404677,1352,0,0.4306831798454961,1425,0,0.3967346935591916,1478,0,0.4400317709034541,1410,0
RO,2,5,0,Bot,0.7334837249618772,826,1,0.7293889423099745,836,1,0.7161058473018139,868,1,0.7198697063789761,859,1
RO,2,6,0,Bot,0.6485557079517154,1021,1,0.3082221262988998,1606,1,0.2920469358644627,1628,1,0.4373757451843171,1414,1
RO,2,7,0,Bot,0.297227036141226,1621,1,0.4843810254709572,1336,1,0.5225563905906682,1269,1,0.4134033101274377,1452,1
RO,2,8,0,Bot,0.5149338370463667,1283,0,0.4837962959287581,1337,1,0.6273140058558605,1066,1,0.4944423146906578,1319,0
RO,2,9,0,Bot,0.6580116155470958,1001,0,0.4763382463396117,1350,0,0.5484109382564021,1222,0,0.7338917521120822,825,1
RO,2,10,0,Bot,0.5036190472418609,1303,0,0.5271841015986337,1261,0,0.5271841015986337,1261,0,0.4492696403935001,1395,0
RO,2,11,0,Bot,0.739980762598249,810,1,0.5357675107843582,1245,1,0.4037367990270747,1467,1,0.3213675210975177,1588,0
RO,2,12,0,Bot,0.5214446948733491,1271,1,0.7310300285959078,832,1,0.7140052351423365,873,1,0.7215354582238723,855,1
RO,2,13,0,Bot,0.3978801464395297,1476,1,0.3659043656045732,1524,1,0.3965728270986272,1478,1,0.3978801464395297,1476,1
RO,2,14,0,Bot,0.5115574077280327,1289,0,0.1214729793214653,1837,0,0.1196744852870847,1839,0,0.0583292139818708,1905,0
RO,2,15,0,Bot,0.5264341953369169,1262,1,0.7306201545743966,833,1,0.7038258570629892,897,1,0.725267596034009,846,1
RO,2,16,0,Bot,0.7314396380118533,831,1,0.3389687233017444,1563,1,0.2957502165727891,1623,1,0.4103601777390659,1457,0
RO,2,17,0,Bot,0.3835390943399021,1498,0,0.5435669258180746,1231,0,0.5070315465614503,1297,0,0.523863208932764,1267,0
RO,2,18,0,Bot,0.6448275857692809,1029,1,0.7256809333891172,845,1,0.7029702965731565,899,1,0.6349426879994228,1050,1
RO,2,19,0,Bot,0.7347070182080816,823,1,0.442330558513207,1406,1,0.3800494638298448,1503,1,0.5354213269751534,1246,0
RO,2,20,0,Bot,0.6952191230517579,917,1,0.7256809333891172,845,1,0.7395766512330765,811,1,0.7347070182080816,823,1
RO,2,21,0,Bot,0.7530158725458955,778,0,0.5996434933408559,1123,0,0.5092979123334802,1293,0,0.4710003888960736,1359,0
RO,2,22,0,Bot,0.7338917521120822,825,1,0.7260940027783551,844,1,0.7503974558103242,784,1,0.7207031245383525,857,1
RO,2,23,0,Bot,0.7355212350555668,821,1,0.4202490956892864,1441,2,0.4098625704080222,1457,3,0.4134033101274377,1452,1
RO,2,24,0,Bot,0.7939821917221463,671,0,0.596140099652605,1130,0,0.6125044149755622,1097,0,0.513810063938649,1285,0
RO,5,0,0,Bot,0.9499866269411816,185,2,0.8324903297722864,562,1,0.8536371598957536,500,1,0.9090909085944852,326,1
RO,5,1,0,Bot,0.9316634898366668,250,1,0.7706766912549916,731,1,0.6187961980936018,1082,1,0.9026845632625652,347,1
RO,5,2,0,Bot,0.775140536689069,720,0,0.6348764353476287,1049,0,0.6286713282398315,1062,0,0.6673462448827724,979,0
RO,5,3,0,Bot,0.9563829782238238,163,1,0.7817447992748269,702,1,0.7873918413019585,687,1,0.8072948323447077,633,1
RO,5,4,0,Bot,0.7787114841176994,710,1,0.6339596377010466,1050,2,0.5401785710335455,1235,1,0.7687480384341753,736,1
RO,5,5,0,Bot,0.8079027350802696,632,0,0.6600614959700374,995,0,0.6882943139293907,932,0,0.8006116203144952,652,0
RO,5,6,0,Bot,0.9275758398956264,264,1,0.8407680940467988,538,1,0.7292746109349622,835,1,0.8980623415433873,362,1
RO,5,7,0,Bot,0.9574920292559512,159,1,0.8390532539502301,543,1,0.7546810531632231,772,1,0.9360086762910932,235,1
RO,5,8,0,Bot,0.7713032576710313,730,0,0.6160903312599204,1088,0,0.5942652325567948,1132,0,0.7102926664273909,881,0
RO,5,9,0,Bot,0.9711588878061316,109,1,0.7685069004043164,736,2,0.7053777626572251,892,1,0.7737499995249696,723,1
RO,5,10,0,Bot,0.907268169929808,332,1,0.850029290664644,510,2,0.6510828458991323,1014,1,0.91871038803954,294,1
RO,5,11,0,Bot,0.9727748686097948,103,1,0.9014557665815636,351,1,0.8498533719447912,512,0,0.958598725614976,155,1
RO,5,12,0,Bot,0.8338781570169187,558,1,0.9193059758177698,292,1,0.8032936866184625,644,1,0.8212676474576971,594,1
RO,5,13,0,Bot,0.9090909085944852,326,1,0.8003668598066893,652,1,0.7075098809650416,887,1,0.7940995692808781,669,1
RO,5,14,0,Bot,0.8176062702427008,605,0,0.7237227460394833,849,0,0.737689088687453,815,0,0.8136721108296314,616,0
RO,5,15,0,Bot,0.7402889240916706,808,1,0.719321148363803,859,1,0.749123365804342,786,1,0.7350096707143494,821,1
RO,5,16,0,Bot,0.9719675132541264,106,1,0.7752808984010299,719,1,0.7779507936691564,712,1,0.7134426224912217,873,1
RO,5,17,0,Bot,0.9654626939371902,130,1,0.8047517509652993,640,1,0.7447216885914448,797,1,0.7948402943607259,667,1
RO,5,18,0,Bot,0.9762588046132484,90,1,0.797057019752966,661,1,0.7977941171668899,659,1,0.7530981882810365,776,1
RO,5,19,0,Bot,0.9689963210974328,117,1,0.8091047036147305,628,1,0.7619949490227916,754,0,0.8334324801796467,560,0
RO,5,20,0,Bot,0.9632760893284156,138,1,0.7722152686116753,727,1,0.7337850914999401,824,1,0.7764265664093083,716,1
RO,5,21,0,Bot,0.7984068622649287,658,0,0.6727580367781306,967,0,0.631064571993445,1057,0,0.763945792152655,749,0
RO,5,22,0,Bot,0.8616187984646081,476,1,0.7544416238948422,772,2,0.7630749837742951,750,2,0.7644836267311346,747,1
RO,5,23,0,Bot,0.8996074027574231,357,1,0.7704353268040021,731,2,0.6867469875002018,935,1,0.7427106691896195,802,1
