method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
SMOTE,2,0,0,Bot,0.4478672982298347,1397,1,0.4127625198654775,1453,1,0.5269865063577481,1261,1,0.4779240894883346,1347,1
SMOTE,2,1,0,Bot,0.6058886125602799,1110,1,0.7256809333891172,845,1,0.7395766512330765,811,1,0.7318489830783858,830,1
SMOTE,2,2,0,Bot,0.4996180286546031,1310,0,0.5104285168739088,1291,0,0.5271841015986337,1261,0,0.2756804211843776,1650,0
SMOTE,2,3,0,Bot,0.5019069408898745,1306,0,0.5070315465614503,1297,0,0.5271841015986337,1261,0,0.1948529410004223,1752,0
SMOTE,2,4,0,Bot,0.2511130897178592,1682,0,0.1998166817631349,1746,0,0.216976849556706,1725,0,0.6976127316407471,912,0
SMOTE,2,5,0,Bot,0.7411915434149773,807,1,0.6956521734586938,916,1,0.6956521734586938,916,1,0.739980762598249,810,1
SMOTE,2,6,0,Bot,0.6024182072596903,1117,1,0.4101941744304082,1457,1,0.2868352220725238,1635,1,0.4666406551233132,1366,1
SMOTE,2,7,0,Bot,0.2725274722912019,1654,1,0.6995367301864365,907,1,0.5546156671232736,1210,1,0.4261113332641938,1432,1
SMOTE,2,8,0,Bot,0.5160559119703187,1281,0,0.4832111150322234,1338,1,0.4915514589222772,1324,0,0.4886494801998134,1329,0
SMOTE,2,9,0,Bot,0.6051136359411742,1112,0,0.475746992264137,1351,0,0.5041888800490345,1302,0,0.6698272938310598,975,0
SMOTE,2,10,0,Bot,0.5030487801109018,1304,0,0.5249718358873096,1265,0,0.5271841015986337,1261,0,0.5098634290582733,1292,0
SMOTE,2,11,0,Bot,0.6401384078685566,1039,1,0.4323893095924834,1422,1,0.4925201377177593,1322,1,0.3535819016770893,1542,1
SMOTE,2,12,0,Bot,0.6239495794019397,1073,1,0.6899999995473836,929,1,0.7207031245383525,857,1,0.6847389553723188,941,1
SMOTE,2,13,0,Bot,0.3978801464395297,1476,1,0.3873615097401868,1492,1,0.3939517773697938,1482,1,0.3978801464395297,1476,1
SMOTE,2,14,0,Bot,0.2400358260306003,1696,1,0.1132981275925924,1846,1,0.1205741625660053,1838,0,0.1848428833810531,1764,0
SMOTE,2,15,0,Bot,0.5719476740094925,1177,1,0.6956521734586938,916,1,0.7207031245383525,857,1,0.7391722805728351,812,1
SMOTE,2,16,0,Bot,0.5588558851851297,1202,1,0.4242181231613521,1435,1,0.2868352220725238,1635,1,0.361284939211395,1531,0
SMOTE,2,17,0,Bot,0.3701244810258652,1518,0,0.5441067453410993,1230,0,0.5160559119703187,1281,0,0.5337812612730818,1249,0
SMOTE,2,18,0,Bot,0.631138975533895,1058,1,0.7033982179530923,898,1,0.6541095886002313,1009,1,0.7198697063789761,859,1
SMOTE,2,19,0,Bot,0.6886886882364788,932,1,0.4134033101274377,1452,1,0.300907911546354,1616,1,0.4954058189221011,1317,1
SMOTE,2,20,0,Bot,0.7355212350555668,821,1,0.6956521734586938,916,1,0.7072368416474606,889,1,0.739980762598249,810,1
SMOTE,2,21,0,Bot,0.6427090527769295,1034,0,0.66349098288383,989,0,0.5783568580756244,1165,0,0.6389466385113759,1042,0
SMOTE,2,22,0,Bot,0.7334837249618772,826,1,0.7256809333891172,845,1,0.741594620089903,806,1,0.7395766512330765,811,1
SMOTE,2,23,0,Bot,0.4076175037265123,1461,1,0.4087413999163234,1459,2,0.4409199044924807,1408,2,0.4235860405798853,1436,1
SMOTE,2,24,0,Bot,0.5478743064409904,1223,0,0.5266316575261223,1262,0,0.6065980840040539,1109,0,0.5216409480521091,1271,0
SMOTE,5,0,0,Bot,0.8996074027574231,357,1,0.9643893426813068,133,2,0.8350148363081715,554,2,0.9388528133541754,226,0
SMOTE,5,1,0,Bot,0.7613636358914789,755,1,0.7625354772948301,752,1,0.772599311380094,726,1,0.7370453809307749,816,1
SMOTE,5,2,0,Bot,0.6917945292334914,924,0,0.6410256405896281,1036,0,0.6291506461953783,1061,0,0.7060376108921307,891,0
SMOTE,5,3,0,Bot,0.8010999078601413,650,1,0.7944700456034564,668,1,0.789765720853043,680,2,0.7794712281395576,708,1
SMOTE,5,4,0,Bot,0.5488165676483812,1219,1,0.5507567364030893,1215,2,0.5399776864771687,1235,2,0.7590132822608527,761,1
SMOTE,5,5,0,Bot,0.8253968249115742,583,0,0.7274497075184998,840,0,0.7166230361888969,866,0,0.805360949868741,639,0
