method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
STSMOTE,2,0,0,Bot,0.7588383833666804,762,2,0.7055335963806414,893,1,0.7123197898421665,877,1,0.4678362569507612,1364,1
STSMOTE,2,1,0,Bot,0.713163064373489,875,1,0.7231968806292782,851,1,0.5269865063577481,1261,1,0.732666881186169,828,1
STSMOTE,2,2,0,Bot,0.5064638779484001,1298,0,0.4786986828268313,1346,0,0.4474308296918383,1398,0,0.2657836642284633,1663,0
STSMOTE,2,3,0,Bot,0.5070315465614503,1297,0,0.5070315465614503,1297,0,0.4331870758469702,1421,0,0.2055733209665796,1739,0
STSMOTE,2,4,0,Bot,0.525525525137694,1264,0,0.2642509940258429,1665,0,0.2604074399858453,1670,0,0.5424860849474851,1233,0
STSMOTE,2,5,0,Bot,0.7453733243561229,796,2,0.7360977173096452,819,2,0.7330754347380746,827,1,0.7397435892766494,810,2
STSMOTE,2,6,0,Bot,0.7198697063789761,859,1,0.5208882194107849,1272,1,0.4843810254709572,1336,1,0.5269865063577481,1261,1
STSMOTE,2,7,0,Bot,0.4248496990633952,1434,1,0.5535517110453705,1212,1,0.4210526312457341,1440,1,0.4261113332641938,1432,1
STSMOTE,2,8,0,Bot,0.5154950865406412,1282,0,0.519969856434717,1274,0,0.5166163138158354,1280,0,0.5053272446752384,1300,0
STSMOTE,2,9,0,Bot,0.7545137784333662,773,2,0.5827623508304626,1156,1,0.4982804734500877,1312,1,0.7038258570629892,897,1
STSMOTE,2,10,0,Bot,0.5216409480521091,1271,0,0.523863208932764,1267,0,0.472783825455096,1356,0,0.4668227943334216,1366,0
STSMOTE,2,11,0,Bot,0.7387676503678825,813,1,0.6527254023707217,1012,1,0.6499484708762803,1018,1,0.4279999996627923,1429,1
STSMOTE,2,12,0,Bot,0.7029702965731565,899,1,0.7248539904521942,847,1,0.5269865063577481,1261,1,0.7347070182080816,823,1
STSMOTE,2,13,0,Bot,0.3977180110900102,1476,2,0.397064818269942,1477,2,0.1914404047960517,1756,1,0.3978801464395297,1476,1
STSMOTE,2,14,0,Bot,0.3313508918218199,1574,0,0.1419110689314109,1814,0,0.0848366649601224,1877,0,0.155002348377297,1799,0
STSMOTE,2,15,0,Bot,0.6999669198222183,906,1,0.6999669198222183,906,1,0.5269865063577481,1261,1,0.7395766512330765,811,1
STSMOTE,2,16,0,Bot,0.7072368416474606,889,1,0.4936757374580022,1320,1,0.4849653041808187,1335,1,0.5034272654260342,1303,1
STSMOTE,2,17,0,Bot,0.4381709738125471,1413,0,0.477519379481084,1348,0,0.3868583159094195,1493,0,0.5266316575261223,1262,0
STSMOTE,2,18,0,Bot,0.7207031245383525,857,1,0.6995367301864365,907,1,0.5264341953369169,1262,1,0.732258064051327,829,1
STSMOTE,2,19,0,Bot,0.7440076697142938,800,1,0.5498154977555768,1219,1,0.542825361116555,1232,1,0.6424870461953415,1034,1
STSMOTE,2,20,0,Bot,0.7401473881904368,809,2,0.7352846569803485,821,2,0.72774360588151,840,1,0.739980762598249,810,1
STSMOTE,2,21,0,Bot,0.8190018034846188,602,0,0.7549920755992664,773,0,0.742637643578737,804,0,0.7498408652214553,786,0
STSMOTE,2,22,0,Bot,0.7441711908446025,799,2,0.7389352144146035,812,2,0.7338917521120822,825,1,0.7391722805728351,812,1
STSMOTE,2,23,0,Bot,0.7103968509677872,881,2,0.5005723002725586,1308,1,0.4826254822585489,1339,1,0.4348864990615089,1418,1
STSMOTE,2,24,0,Bot,0.8204204199360521,598,0,0.7612740455702728,757,0,0.7394094988916305,812,0,0.5885734814383271,1145,0
STSMOTE,5,0,0,Bot,0.9770594364131931,87,1,0.9703645418550004,111,2,0.9621993122149428,141,2,0.976029181365286,88,4
STSMOTE,5,1,0,Bot,0.9463231342298072,198,2,0.7955801100175177,665,1,0.8025633196287371,646,1,0.9516430665591442,180,1
STSMOTE,5,2,0,Bot,0.8176062702427008,605,0,0.8327380947515877,562,0,0.7797137518573186,708,0,0.8082649645741038,631,0
STSMOTE,5,3,0,Bot,0.9920369889677944,30,1,0.8665511260247912,461,1,0.8883852686274755,393,1,0.804023163188207,642,1
STSMOTE,5,4,0,Bot,0.783767037936504,696,2,0.7764265664093083,716,1,0.7764265664093083,716,1,0.79237157749682,673,2
STSMOTE,5,5,0,Bot,0.8327380947515877,562,0,0.7865099005124013,690,0,0.7541296056288576,774,0,0.8296031030652011,571,0
STSMOTE,5,6,0,Bot,0.969824192625079,113,2,0.9275758398956264,264,1,0.9190082639655388,293,1,0.96628029454746,127,1
STSMOTE,5,7,0,Bot,0.9624735724388456,140,2,0.9371614296206092,231,1,0.9249315063515848,273,1,0.9679116249602728,121,1
STSMOTE,5,8,0,Bot,0.8299522668170656,570,0,0.746964855761568,792,0,0.7315653294191259,830,0,0.7831213150675559,699,0
STSMOTE,5,9,0,Bot,0.9657534241575764,128,2,0.8473282437857873,518,2,0.8252543382338954,582,2,0.827256425097108,577,1
STSMOTE,5,10,0,Bot,0.96980834814787,114,1,0.9331158233189852,245,1,0.8563101131792247,492,1,0.9488621146279206,189,2
STSMOTE,5,11,0,Bot,0.9821104480347636,67,2,0.9778703457637068,83,2,0.9566834967100574,161,2,0.9759916487690774,91,1
STSMOTE,5,12,0,Bot,0.9791883449731614,79,1,0.9599787962137614,150,1,0.9599787962137614,150,1,0.9746537753033,96,1
STSMOTE,5,13,0,Bot,0.9499598603516668,186,1,0.9154228850751632,305,1,0.8519602101598757,505,1,0.8881336726860299,393,2
STSMOTE,5,14,0,Bot,0.8316949652568909,565,0,0.8282043616295892,575,0,0.7969325148575526,662,0,0.8215144225923579,594,0
STSMOTE,5,15,0,Bot,0.7440818933259302,798,2,0.7355877612088614,819,2,0.7378578316340699,814,1,0.749123365804342,786,1
STSMOTE,5,16,0,Bot,0.991259639602352,33,1,0.8489293042922855,514,1,0.8187838646572988,601,1,0.8177161790881716,604,1
STSMOTE,5,17,0,Bot,0.956105346667231,164,1,0.8436856044569859,528,3,0.8328375961820266,561,1,0.8523823438539844,503,2
STSMOTE,5,18,0,Bot,0.971982193791554,105,2,0.8369887369163688,549,1,0.8539719621269006,499,1,0.9084840050669136,328,1
STSMOTE,5,19,0,Bot,0.969824192625079,113,2,0.9597030747919044,151,1,0.9488347168862542,190,1,0.9700787396574032,113,1
