method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
TVAE,2,0,0,Bot,0.4095507888276947,1458,1,0.4134033101274377,1452,1,0.4279999996627923,1429,1,0.4223203529378327,1438,1
TVAE,2,1,0,Bot,0.5022865849889511,1305,1,0.708511337037718,886,1,0.7622047239370923,754,1,0.7338917521120822,825,1
TVAE,2,2,0,Bot,0.4978967491476615,1313,0,0.4553676756212139,1385,0,0.5024780781594083,1305,0,0.0592885374918175,1904,0
TVAE,2,3,0,Bot,0.5019069408898745,1306,0,0.5233082702899158,1268,0,0.5271841015986337,1261,0,0.122370936787485,1836,0
TVAE,2,4,0,Bot,0.2063926938786447,1738,0,0.4110032359190808,1456,0,0.1205741625660053,1838,0,0.5266316575261223,1262,0
TVAE,2,5,0,Bot,0.6655348043090746,984,1,0.7496022903356768,786,1,0.7645394525292929,748,1,0.7379576103236718,815,1
TVAE,2,6,0,Bot,0.4127625198654775,1453,1,0.406326033738674,1463,1,0.4298841386948775,1426,1,0.5280898872510502,1259,1
TVAE,2,7,0,Bot,0.2687224667268551,1659,1,0.2710074788673432,1656,1,0.4159613055947749,1448,1,0.4069720304816784,1462,1
TVAE,2,8,0,Bot,0.5182949826409023,1277,0,0.4849653041808187,1335,1,0.4786986828268313,1346,0,0.5047582790284146,1301,0
TVAE,2,9,0,Bot,0.3377063052628309,1565,0,0.345408592805782,1554,0,0.6149506342704538,1092,0,0.7330754347380746,827,1
TVAE,2,10,0,Bot,0.5001909121865692,1309,0,0.5271841015986337,1261,0,0.5271841015986337,1261,0,0.498470947637617,1312,0
TVAE,2,11,0,Bot,0.3985330070150298,1475,1,0.4050324672086492,1465,1,0.4204180060980222,1441,1,0.3985330070150298,1475,1
TVAE,2,12,0,Bot,0.4379968200068906,1413,1,0.6457615433249756,1027,1,0.7622047239370923,754,1,0.406326033738674,1463,1
TVAE,2,13,0,Bot,0.3978801464395297,1476,1,0.3977180110900102,1476,2,0.3978801464395297,1476,1,0.3978801464395297,1476,1
TVAE,2,14,0,Bot,0.0408977555708703,1923,0,0.0515873015369937,1912,0,0.1241642787754981,1834,0,0.2495543669827879,1684,0
TVAE,2,15,0,Bot,0.4696261678641688,1361,1,0.4313099038147143,1424,0,0.7539632208359108,775,1,0.5620197581023167,1196,1
TVAE,2,16,0,Bot,0.4185110660666505,1444,1,0.4101941744304082,1457,1,0.4330143537269249,1421,1,0.3985330070150298,1475,1
TVAE,2,17,0,Bot,0.2958785246934068,1623,0,0.3721508492616458,1515,0,0.5244177306419965,1266,0,0.4692127821814216,1362,0
TVAE,2,18,0,Bot,0.4896233662705191,1327,1,0.6330434778275027,1054,1,0.7527768957533462,778,1,0.7371465290968854,817,1
TVAE,2,19,0,Bot,0.4726000773685743,1356,1,0.421686746654372,1439,1,0.6093418254779348,1103,1,0.3972267533513255,1477,1
TVAE,2,20,0,Bot,0.6181434594878159,1085,1,0.671848597052321,970,1,0.7395766512330765,811,1,0.739980762598249,810,1
TVAE,2,21,0,Bot,0.3828736102294238,1499,0,0.4186795487829614,1444,0,0.5936269240361366,1135,0,0.0535183349329945,1910,0
TVAE,2,22,0,Bot,0.5275384035074514,1260,1,0.7194525899590343,860,1,0.7219512190502004,854,1,0.6632653056784641,989,1
TVAE,2,23,0,Bot,0.4127625198654775,1453,1,0.3037100946503523,1612,2,0.4157937144155456,1448,2,0.4089068822649793,1459,1
TVAE,2,24,0,Bot,0.3433150566533288,1557,0,0.3370025399396499,1566,0,0.6643998635477013,987,0,0.4921305178627529,1323,0
TVAE,5,0,0,Bot,0.7909987664757304,678,0,0.8269058291107955,578,1,0.8216216211369306,593,1,0.9354313614114714,237,1
TVAE,5,1,0,Bot,0.7166230361888969,866,0,0.6605191252402325,994,0,0.7873918413019585,687,1,0.7155482810455304,868,1
TVAE,5,2,0,Bot,0.6424368289161981,1033,0,0.6531593402190412,1010,0,0.7274497075184998,840,0,0.7257959709471288,844,0
TVAE,5,3,0,Bot,0.63227605394126,1054,1,0.7798507457922679,707,1,0.7929867728213351,672,1,0.7656495748649879,744,1
TVAE,5,4,0,Bot,0.6393897360414418,1039,1,0.7487244893268505,787,1,0.7542857138152673,773,1,0.7475263321198065,790,1
TVAE,5,5,0,Bot,0.6904841397811617,927,0,0.7111403215918605,879,0,0.7191378179583058,860,0,0.7850061953094897,694,0
TVAE,5,6,0,Bot,0.7459252152555114,794,1,0.76112338229834,755,2,0.806569342583793,635,1,0.6959122627559391,914,1
TVAE,5,7,0,Bot,0.5281320326188319,1257,1,0.7431133883856542,801,1,0.7125984247374942,875,1,0.772599311380094,726,1
TVAE,5,8,0,Bot,0.6377214306176285,1043,0,0.6067495555271583,1107,0,0.6536216954057469,1009,0,0.4667709144189713,1364,0
TVAE,5,9,0,Bot,0.6370267449628879,1044,1,0.7329673873296475,826,1,0.7621451099377513,753,1,0.6880641921257168,932,1
TVAE,5,10,0,Bot,0.7787114841176994,710,1,0.8820512815576682,413,1,0.938024356740892,228,1,0.7557106594278363,770,0
TVAE,5,11,0,Bot,0.5717407133567637,1176,0,0.6296296291977767,1060,0,0.8243405270928715,586,0,0.9087367830317612,328,0
TVAE,5,12,0,Bot,0.7672007535321246,740,1,0.8593023250907119,483,1,0.9474248922047084,195,1,0.7333763713877071,825,1
TVAE,5,13,0,Bot,0.6351304343484782,1048,1,0.7390745496619333,811,1,0.8205590617337133,596,1,0.8152173908208165,611,1
TVAE,5,14,0,Bot,0.6732070360888005,966,0,0.7187193722930917,861,0,0.7924876842501067,674,0,0.7627760247642494,752,0
TVAE,5,15,0,Bot,0.6139173432686312,1092,1,0.725146198367532,845,1,0.7499203563321621,784,1,0.7374517369855599,815,1
TVAE,5,16,0,Bot,0.5385474856392443,1238,1,0.7699059556386975,733,1,0.7828784114336206,699,1,0.7226562495378088,851,1
TVAE,5,17,0,Bot,0.7417388509926105,805,0,0.6732070360888005,966,0,0.7741330829363172,722,1,0.7325581390700004,827,1
TVAE,5,18,0,Bot,0.7015221702917319,901,1,0.6799057551886049,951,0,0.7679748817868866,738,1,0.7550761416613391,771,1
TVAE,5,19,0,Bot,0.6106978387535247,1099,0,0.7151277009151671,869,1,0.7947141974308469,668,0,0.6919999995467655,923,1
TVAE,5,20,0,Bot,0.7406931959386266,807,1,0.7546810531632231,772,1,0.7609725287353875,756,1,0.7398843925967717,809,1
TVAE,5,21,0,Bot,0.5409226186525925,1234,0,0.6577686511665982,1000,0,0.6869768994480966,935,0,0.5856473129644336,1149,0
TVAE,5,22,0,Bot,0.5647403068361303,1189,1,0.7668133244794195,741,1,0.557883130798763,1202,1,0.7687480384341753,736,1
TVAE,5,23,0,Bot,0.5803183787479798,1159,1,0.7205738502067932,856,1,0.7239024385618549,848,1,0.6524725270322286,1011,1
TVAE,5,24,0,Bot,0.7697616055486066,734,0,0.79767014053776,660,0,0.9287469282489214,260,1,0.7926153841362735,673,1
TVAE,2,0,0,Brute Force -Web,0.3495934956455262,480,0,0.3495934956455262,480,0,0.3606998651138793,475,0,0.403669724447389,455,0
TVAE,2,1,0,Brute Force -Web,0.3405994547573484,484,0,0.2061855668247726,539,0,0.2525107601803671,521,0,0.3405994547573484,484,0
TVAE,2,2,0,Brute Force -Web,0.0,609,0,0.0065466448379705,607,0,0.2698863634021298,514,0,0.2114537443036736,537,0
TVAE,2,3,0,Brute Force -Web,0.3428571425721282,483,0,0.3405994547573484,484,0,0.3405994547573484,484,0,0.3405994547573484,484,0
TVAE,2,4,0,Brute Force -Web,0.3883751648098993,462,1,0.3867549665744274,463,0,0.3803191486271609,466,0,0.2988826813091936,502,0
