method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
TabSyn,2,0,0,Bot,0.7038258570629892,897,1,0.4279999996627923,1429,1,0.5313901341381985,1253,1,0.4172372127177324,1446,1
TabSyn,2,1,0,Bot,0.6263544211000399,1068,1,0.722366709550894,853,1,0.7219512190502004,854,1,0.726919338700876,842,1
TabSyn,2,2,0,Bot,0.5013353678040346,1307,0,0.5109931762681529,1290,0,0.5271841015986337,1261,0,0.3516575741958208,1545,0
TabSyn,2,3,0,Bot,0.5024780781594083,1305,0,0.5070315465614503,1297,0,0.525525525137694,1264,0,0.1823229984458829,1767,0
TabSyn,2,4,0,Bot,0.4218561668021818,1439,0,0.374844848681446,1511,0,0.3901639341118597,1488,0,0.3934560324034623,1483,0
TabSyn,2,5,0,Bot,0.732258064051327,829,1,0.7248539904521942,847,1,0.6939182448103859,920,1,0.739980762598249,810,1
TabSyn,2,6,0,Bot,0.6122881351676747,1097,1,0.4279999996627923,1429,1,0.3118556698390053,1601,1,0.4004884001672939,1472,1
TabSyn,2,7,0,Bot,0.4159613055947749,1448,1,0.4355095537986562,1417,1,0.5220007517759568,1270,1,0.4254807688950043,1433,1
TabSyn,2,8,0,Bot,0.5154950865406412,1282,0,0.4832111150322234,1338,1,0.4786986828268313,1346,0,0.5047582790284146,1301,0
TabSyn,2,9,0,Bot,0.7355212350555668,821,1,0.4674209906675967,1365,0,0.525525525137694,1264,0,0.4398570858013821,1410,1
TabSyn,2,10,0,Bot,0.5019069408898745,1306,0,0.525525525137694,1264,0,0.5271841015986337,1261,0,0.4874855598928007,1331,0
TabSyn,2,11,0,Bot,0.7273316057541431,841,1,0.4069720304816784,1462,1,0.4140435832059746,1451,1,0.4030881752157385,1468,1
TabSyn,2,12,0,Bot,0.6186291735614743,1084,1,0.7248539904521942,847,1,0.7059598283209712,892,1,0.7194525899590343,860,1
TabSyn,2,13,0,Bot,0.3978801464395297,1476,1,0.3631820071988122,1528,1,0.2384580903314346,1698,1,0.3978801464395297,1476,1
TabSyn,2,14,0,Bot,0.483397683030749,1338,0,0.122370936787485,1836,0,0.1088107846827529,1851,0,0.0506203473451515,1913,0
TabSyn,2,15,0,Bot,0.6277932956579563,1065,1,0.7248539904521942,847,1,0.7016848360155896,902,1,0.7227819299895138,852,1
TabSyn,2,16,0,Bot,0.6943521590144847,919,1,0.4273709480425037,1430,1,0.2868352220725238,1635,1,0.4298841386948775,1426,1
TabSyn,2,17,0,Bot,0.4199517293541331,1442,0,0.5441067453410993,1230,0,0.5299401193705605,1256,0,0.5271841015986337,1261,0
TabSyn,2,18,0,Bot,0.6073706586833867,1107,1,0.7207031245383525,857,1,0.6220196349143521,1077,1,0.7219512190502004,854,1
TabSyn,2,19,0,Bot,0.732666881186169,828,1,0.6292291589681078,1062,1,0.4108370397050974,1456,1,0.4089068822649793,1459,1
TabSyn,2,20,0,Bot,0.7114754093770334,879,1,0.7248539904521942,847,1,0.6995367301864365,907,1,0.7387676503678825,813,1
TabSyn,2,21,0,Bot,0.7721162858649637,729,0,0.6445824702321431,1030,0,0.5905992102041199,1141,0,0.5104285168739088,1291,0
TabSyn,2,22,0,Bot,0.53412905593004,1248,1,0.6917443404256735,925,1,0.7215354582238723,855,1,0.7310300285959078,832,1
TabSyn,2,23,0,Bot,0.6816504524181676,948,1,0.4035728782798969,1467,2,0.4824392122919693,1339,2,0.4134033101274377,1452,1
TabSyn,2,24,0,Bot,0.7454487379541513,797,0,0.6110325313998267,1100,0,0.5569434235507161,1206,0,0.5812274364100682,1159,1
TabSyn,5,0,0,Bot,0.84689979381028,520,1,0.8517110261262935,505,2,0.8287589493946318,572,2,0.8875035415856072,395,2
TabSyn,5,1,0,Bot,0.9109075765225644,320,1,0.7733666766116457,724,1,0.6933066928530578,920,1,0.7660377353757969,743,1
TabSyn,5,2,0,Bot,0.7417388509926105,805,0,0.6410256405896281,1036,0,0.6281916749796641,1063,0,0.7352466941492134,821,0
TabSyn,5,3,0,Bot,0.9743857809948394,97,1,0.7799875694426496,706,2,0.789765720853043,680,2,0.8666281750278707,460,2
TabSyn,5,4,0,Bot,0.9351424689723884,238,1,0.7310924365101261,830,2,0.5399776864771687,1235,2,0.662120695089983,990,1
TabSyn,5,5,0,Bot,0.8271531095622903,578,0,0.7132545927164965,874,0,0.7224755695706127,852,0,0.77857365259161,711,0
TabSyn,5,6,0,Bot,0.9145228210798636,308,1,0.7836329815438663,697,1,0.7687480384341753,736,1,0.8227886052121481,589,2
TabSyn,5,7,0,Bot,0.7609725287353875,756,1,0.7309184988887253,831,1,0.7542857138152673,773,1,0.7900092502152336,680,1
